ab	exp	dpi	mean	SD
2F01	Protection	1	99.15379343	0.752018691
2F01	Protection	2	101.2325323	0.725717997
2F01	Protection	3	99.48871605	1.144210826
2F01	Protection	4	94.97198221	2.920587778
2F01	Protection	5	93.73287679	1.617507878
2F01	Protection	6	93.38653351	2.190637794
2F01	Protection	7	89.62644122	4.002822632
2F01	Protection	8	85.31356635	5.325797802
2F01	Protection	9	86.00799828	6.529765091
2F01	Protection	10	89.81608669	7.811769466
2F01	Protection	11	93.16826534	7.953352581
2F01	Protection	12	95.87683516	5.863814572
2F01	Protection	13	97.28157863	5.36981585
2F01	Protection	14	98.49757345	4.045566758
2F01	Treatment	1	97.90115427	1.374278027
2F01	Treatment	2	99.19253217	3.100011006
2F01	Treatment	3	92.391648	2.899565567
2F01	Treatment	4	86.27578936	4.762949919
2F01	Treatment	5	82.77167735	5.486401243
2F01	Treatment	6	79.06698231	5.723583531
2F01	Treatment	7	76.64175773	7.952216986
2F01	Treatment	8	95.79288026	0
2F01	Treatment	9	96.54800431	0
2F01	Treatment	10	98.65156419	0
2F01	Treatment	11	100.7011866	0
2F01	Treatment	12	103.0744337	0
2F01	Treatment	13	103.1823085	0
2F01	Treatment	14	103.0744337	0
2F01	Control	1	99.61441719	2.01533042
2F01	Control	2	100.8511614	1.897595796
2F01	Control	3	94.47252208	2.960665213
2F01	Control	4	87.25486203	5.966508289
2F01	Control	5	83.52885853	6.360294713
2F01	Control	6	80.3789313	6.728039357
2F01	Control	7	76.77263036	7.085626768
2F01	Control	8	75.78918999	5.798909553
2F01	Control	9	74.18761496	0
16ND92	Protection	1	95.46685941	2.11587964
16ND92	Protection	2	96.52314381	2.669967531
16ND92	Protection	3	97.1624859	2.409811485
16ND92	Protection	4	97.58238283	2.110772935
16ND92	Protection	5	97.53847588	2.838527352
16ND92	Protection	6	96.10768543	2.293655868
16ND92	Protection	7	96.67256199	1.200262914
16ND92	Protection	8	95.66022455	0.670989475
16ND92	Protection	9	93.83345609	4.082645824
16ND92	Protection	10	95.0169748	3.074454232
16ND92	Protection	11	96.81204851	2.0730623
16ND92	Protection	12	97.89112007	2.152143387
16ND92	Protection	13	98.36325103	1.891868206
16ND92	Protection	14	99.66559976	1.583539688
16ND92	Treatment	1	99.640489	3.07933643
16ND92	Treatment	2	100.1230472	1.642590814
16ND92	Treatment	3	98.52082193	3.073189136
16ND92	Treatment	4	94.32204409	5.822517788
16ND92	Treatment	5	94.08082512	7.420252325
16ND92	Treatment	6	93.7072507	8.807817695
16ND92	Treatment	7	91.04468454	11.03138229
16ND92	Treatment	8	95.70272196	5.821452621
16ND92	Treatment	9	97.77152336	5.777465401
16ND92	Treatment	10	98.26361527	5.601437607
16ND92	Treatment	11	100.8472418	5.375717569
16ND92	Treatment	12	101.8362437	5.378951468
16ND92	Treatment	13	102.0209006	6.563156504
16ND92	Treatment	14	102.4238911	6.198268591
16ND92	Control	1	98.37842999	1.522530366
16ND92	Control	2	99.19750357	1.681161281
16ND92	Control	3	92.11520599	2.446145837
16ND92	Control	4	85.40828525	2.641455438
16ND92	Control	5	80.20113007	3.348590193
16ND92	Control	6	77.45232497	3.699224007
16ND92	Control	7	72.16300483	2.434557742
16ND92	Control	8	73.44121847	0
