,0,1,2
0,039_10_4D04,Overlap1,0
17,039_10_4D04,Overlap2,0
40,039_10_4D04,Overlap3,0
84,042_10_2B05,Overlap1,17
73,042_10_2B05,Overlap2,0
121,042_10_2B05,Overlap3,0
151,051_10_4G03,Overlap1,14
139,051_10_4G03,Overlap2,0
188,051_10_4G03,Overlap3,0
218,150055-015_1G03,Overlap1,16
126,150055-015_1G03,Overlap2,0
262,150055-015_1G03,Overlap3,15
277,16.ND.95_Heavy,Overlap1,18
306,16.ND.95_Heavy,Overlap2,4
312,16.ND.95_Heavy,Overlap3,11
331,56.f.01_Heavy,Overlap1,0
189,56.f.01_Heavy,Overlap2,0
379,56.f.01_Heavy,Overlap3,10
399,FISW-k.01,Overlap1,12
245,FISW-k.01,Overlap2,0
447,FISW-k.01,Overlap3,13
464,K77-1C10,Overlap1,0
494,K77-1C10,Overlap2,0
524,K77-1C10,Overlap3,13
364,K77-1F01,Overlap1,0
458,K77-1F01,Overlap2,0
601,K77-1F01,Overlap3,0
651,K77-1G04,Overlap1,8
523,K77-1G04,Overlap2,0
683,K77-1G04,Overlap3,21
533,K77-2F02,Overlap1,0
722,K77-2F02,Overlap2,1
753,K77-2F02,Overlap3,9
619,K77-2G05,Overlap1,0
457,K77-2G05,Overlap2,0
802,K77-2G05,Overlap3,15
837,K77-2G11,Overlap1,3
706,K77-2G11,Overlap2,0
874,K77-2G11,Overlap3,12
892,R95-1E04,Overlap1,17
893,R95-1E04,Overlap2,1
917,R95-1E04,Overlap3,18
949,R95-2B02,Overlap1,8
734,R95-2B02,Overlap2,0
981,R95-2B02,Overlap3,18
993,R95-2C10,Overlap1,0
1023,R95-2C10,Overlap2,0
1035,R95-2C10,Overlap3,11
1074,R95-2E02,Overlap1,8
838,R95-2E02,Overlap2,0
1098,R95-2E02,Overlap3,0
1128,SFV009_3A02,Overlap1,10
1148,SFV009_3A02,Overlap2,19
965,SFV009_3A02,Overlap3,0
1180,W85-1C11,Overlap1,0
1210,W85-1C11,Overlap2,19
1221,W85-1C11,Overlap3,0
1246,W85-1H08,Overlap1,4
1252,W85-1H08,Overlap2,22
1260,W85-1H08,Overlap3,1
1289,W85-2B08,Overlap1,0
1092,W85-2B08,Overlap2,0
1349,W85-2B08,Overlap3,0
1379,W85-2E09,Overlap1,16
926,W85-2E09,Overlap2,0
1057,W85-2E09,Overlap3,0
1453,W85-3B05,Overlap1,13
1470,W85-3B05,Overlap2,1
1490,W85-3B05,Overlap3,18
1502,W85-3C08,Overlap1,18
1514,W85-3C08,Overlap2,0
1544,W85-3C08,Overlap3,18
1556,W85-3G10,Overlap1,0
1598,W85-3G10,Overlap2,4
1604,W85-3G10,Overlap3,18
